PWM,human_TF,mouse_TF,ID,NR_sites,References,Superclass,Class,Family,Subfamily
AHR_HUMAN.H10MO.B,AHR,Ahr,AHR_001,154,HOCOMOCO v10,Basic domains,Basic helix-loop-helix factors (bHLH),PAS domain factors,Ahr-like factors
AIRE_HUMAN.H10MO.C,AIRE,Aire,AIRE_001,41,HOCOMOCO v10,alpha-Helices exposed by beta-structures,SAND domain factors,AIRE,AIRE
AJ_ALX4::EOMES,ALX4::EOMES,Alx4::Eomes,ALX4::EOMES_001,6722,"Jolma A et al., Nature, 2015",Other,Other,Composite,ALX4::EOMES
AJ_ALX4::TBX21_001,ALX4::TBX21,Alx4::Tbx21,ALX4::TBX21_001,13664,"Jolma A et al., Nature, 2015",Other,Other,Composite,ALX4::TBX21
AJ_ALX4::TBX21_002,ALX4::TBX21,Alx4::Tbx21,ALX4::TBX21_002,17293,"Jolma A et al., Nature, 2015",Other,Other,Composite,ALX4::TBX21
AJ_ARNTL::BHLHA15,ARNTL::BHLHA15,Arntl::Bhlha15,ARNTL::BHLHA15_001,9374,"Jolma A et al., Nature, 2015",Other,Other,Composite,ARNTL::BHLHA15
AJ_ARNTL::PITX1_001,ARNTL::PITX1,Arntl::Pitx1,ARNTL::PITX1_001,2519,"Jolma A et al., Nature, 2015",Other,Other,Composite,ARNTL::PITX1
AJ_ARNTL::PITX1_002,ARNTL::PITX1,Arntl::Pitx1,ARNTL::PITX1_002,8350,"Jolma A et al., Nature, 2015",Other,Other,Composite,ARNTL::PITX1
AJ_ATF4::CEBPB,ATF4::CEBPB,Atf4::Cebpb,ATF4::CEBPB_001,120091,"Jolma A et al., Nature, 2015",Other,Other,Composite,ATF4::CEBPB
AJ_ATF4::CEBPD,ATF4::CEBPD,Atf4::Cebpd,ATF4::CEBPD_001,98372,"Jolma A et al., Nature, 2015",Other,Other,Composite,ATF4::CEBPD
AJ_ATF4::TEF,ATF4::TEF,Atf4::Tef,ATF4::TEF_001,3157,"Jolma A et al., Nature, 2015",Other,Other,Composite,ATF4::TEF
AJ_BACH1,BACH1,Bach1,BACH1_001,36132,"Jolma A et al., Nature, 2015",Basic domains,Basic leucine zipper factors (bZIP),Jun-related factors,NF-E2-like factors
AJ_CEBPG::ATF4,CEBPG::ATF4,Cebpg::Atf4,CEBPG::ATF4_001,184066,"Jolma A et al., Nature, 2015",Other,Other,Composite,CEBPG::ATF4
AJ_CEBPG::CREB3L1,CEBPG::CREB3L1,Cebpg::Creb3l1,CEBPG::CREB3L1_001,1080,"Jolma A et al., Nature, 2015",Other,Other,Composite,CEBPG::CREB3L1
AJ_CEBPG::ELF1,CEBPG::ELF1,Cebpg::Elf1,CEBPG::ELF1_001,326,"Jolma A et al., Nature, 2015",Other,Other,Composite,CEBPG::ELF1
AJ_CLOCK::BHLHA15,CLOCK::BHLHA15,Clock::Bhlha15,CLOCK::BHLHA15_001,1888,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::BHLHA15
AJ_CLOCK::EVX1_001,CLOCK::EVX1,Clock::Evx1,CLOCK::EVX1_001,1034,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::EVX1
AJ_CLOCK::EVX1_002,CLOCK::EVX1,Clock::Evx1,CLOCK::EVX1_002,2022,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::EVX1
AJ_CLOCK::EVX1_003,CLOCK::EVX1,Clock::Evx1,CLOCK::EVX1_003,772,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::EVX1
AJ_CLOCK::EVX1_004,CLOCK::EVX1,Clock::Evx1,CLOCK::EVX1_004,1201,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::EVX1
AJ_CLOCK::FIGLA_001,CLOCK::FIGLA,Clock::Figla,CLOCK::FIGLA_001,11002,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::FIGLA
AJ_CLOCK::FIGLA_002,CLOCK::FIGLA,Clock::Figla,CLOCK::FIGLA_002,10811,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::FIGLA
AJ_CLOCK::NHLH1_001,CLOCK::NHLH1,Clock::Nhlh1,CLOCK::NHLH1_001,1000,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::NHLH1
AJ_CLOCK::NHLH1_002,CLOCK::NHLH1,Clock::Nhlh1,CLOCK::NHLH1_002,878,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::NHLH1
AJ_CLOCK::TBX3,CLOCK::TBX3,Clock::Tbx3,CLOCK::TBX3_001,1725,"Jolma A et al., Nature, 2015",Other,Other,Composite,CLOCK::TBX3
AJ_CUX1::FOXI1,CUX1::FOXI1,Cux1::Foxi1,CUX1::FOXI1_001,373,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::FOXI1
AJ_CUX1::FOXO1,CUX1::FOXO1,Cux1::Foxo1,CUX1::FOXO1_001,274,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::FOXO1
AJ_CUX1::FOXO6,CUX1::FOXO6,Cux1::Foxo6,CUX1::FOXO6_001,376,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::FOXO6
AJ_CUX1::HOXA13_001,CUX1::HOXA13,Cux1::Hoxa13,CUX1::HOXA13_001,635,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::HOXA13
AJ_CUX1::HOXA13_002,CUX1::HOXA13,Cux1::Hoxa13,CUX1::HOXA13_002,2914,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::HOXA13
AJ_CUX1::HOXB13,CUX1::HOXB13,Cux1::Hoxb13,CUX1::HOXB13_001,6913,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::HOXB13
AJ_CUX1::NHLH1_001,CUX1::NHLH1,Cux1::Nhlh1,CUX1::NHLH1_001,758,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::NHLH1
AJ_CUX1::NHLH1_002,CUX1::NHLH1,Cux1::Nhlh1,CUX1::NHLH1_002,1530,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::NHLH1
AJ_CUX1::PITX1,CUX1::PITX1,Cux1::Pitx1,CUX1::PITX1_001,2571,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::PITX1
AJ_CUX1::RFX5_001,CUX1::RFX5,Cux1::Rfx5,CUX1::RFX5_001,950,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::RFX5
AJ_CUX1::RFX5_002,CUX1::RFX5,Cux1::Rfx5,CUX1::RFX5_002,2184,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::RFX5
AJ_CUX1::SOX15_001,CUX1::SOX15,Cux1::Sox15,CUX1::SOX15_001,104,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::SOX15
AJ_CUX1::SOX15_002,CUX1::SOX15,Cux1::Sox15,CUX1::SOX15_002,122,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::SOX15
AJ_CUX1::SOX15_003,CUX1::SOX15,Cux1::Sox15,CUX1::SOX15_003,111,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::SOX15
AJ_CUX1::SRF,CUX1::SRF,Cux1::Srf,CUX1::SRF_001,4256,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::SRF
AJ_CUX1::TBX21_001,CUX1::TBX21,Cux1::Tbx21,CUX1::TBX21_001,1085,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::TBX21
AJ_CUX1::TBX21_002,CUX1::TBX21,Cux1::Tbx21,CUX1::TBX21_002,1751,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::TBX21
AJ_CUX1::TBX3,CUX1::TBX3,Cux1::Tbx3,CUX1::TBX3_001,258,"Jolma A et al., Nature, 2015",Other,Other,Composite,CUX1::TBX3
AJ_E2F1::ELK1_001,E2F1::ELK1,E2f1::Elk1,E2F1::ELK1_001,1363,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::ELK1
AJ_E2F1::ELK1_002,E2F1::ELK1,E2f1::Elk1,E2F1::ELK1_002,1267,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::ELK1
AJ_E2F1::ELK1_003,E2F1::ELK1,E2f1::Elk1,E2F1::ELK1_003,1554,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::ELK1
AJ_E2F1::EOMES_001,E2F1::EOMES,E2f1::Eomes,E2F1::EOMES_001,846,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::EOMES
AJ_E2F1::EOMES_002,E2F1::EOMES,E2f1::Eomes,E2F1::EOMES_002,3400,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::EOMES
AJ_E2F1::HES7_001,E2F1::HES7,E2f1::Hes7,E2F1::HES7_001,1525,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::HES7
AJ_E2F1::HES7_002,E2F1::HES7,E2f1::Hes7,E2F1::HES7_002,861,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::HES7
AJ_E2F1::NHLH1,E2F1::NHLH1,E2f1::Nhlh1,E2F1::NHLH1_001,947,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F1::NHLH1
AJ_E2F3::DRGX,E2F3::DRGX,E2f3::Drgx,E2F3::DRGX_001,1434,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::DRGX
AJ_E2F3::EOMES,E2F3::EOMES,E2f3::Eomes,E2F3::EOMES_001,620,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::EOMES
AJ_E2F3::FOXI1,E2F3::FOXI1,E2f3::Foxi1,E2F3::FOXI1_001,2498,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::FOXI1
AJ_E2F3::FOXO6_001,E2F3::FOXO6,E2f3::Foxo6,E2F3::FOXO6_001,688,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::FOXO6
AJ_E2F3::FOXO6_002,E2F3::FOXO6,E2f3::Foxo6,E2F3::FOXO6_002,1689,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::FOXO6
AJ_E2F3::HES7,E2F3::HES7,E2f3::Hes7,E2F3::HES7_001,858,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::HES7
AJ_E2F3::ONECUT2_001,E2F3::ONECUT2,E2f3::Onecut2,E2F3::ONECUT2_001,4243,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::ONECUT2
AJ_E2F3::ONECUT2_002,E2F3::ONECUT2,E2f3::Onecut2,E2F3::ONECUT2_002,2041,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::ONECUT2
AJ_E2F3::TBX21_001,E2F3::TBX21,E2f3::Tbx21,E2F3::TBX21_001,528,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::TBX21
AJ_E2F3::TBX21_002,E2F3::TBX21,E2f3::Tbx21,E2F3::TBX21_002,247,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::TBX21
AJ_E2F3::TBX21_003,E2F3::TBX21,E2f3::Tbx21,E2F3::TBX21_003,486,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::TBX21
AJ_ELF2_001,ELF2,Elf2,ELF2_002,101998,"Jolma A et al., Nature, 2015",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
AJ_ELF2_002,ELF2,Elf2,ELF2_003,33827,"Jolma A et al., Nature, 2015",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
AJ_ELK1::EOMES_001,ELK1::EOMES,Elk1::Eomes,ELK1::EOMES_001,1879,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EOMES
AJ_ELK1::EOMES_002,ELK1::EOMES,Elk1::Eomes,ELK1::EOMES_002,471,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EOMES
AJ_ELK1::EOMES_003,ELK1::EOMES,Elk1::Eomes,ELK1::EOMES_003,11162,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EOMES
AJ_ELK1::ETV7,ELK1::ETV7,Elk1::Etv7,ELK1::ETV7_001,4897,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::ETV7
AJ_ELK1::EVX1,ELK1::EVX1,Elk1::Evx1,ELK1::EVX1_001,1341,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EVX1
AJ_ELK1::FOXI1_001,ELK1::FOXI1,Elk1::Foxi1,ELK1::FOXI1_001,5514,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::FOXI1
